image_path,season
data/raw/DeepArmocromia/train/autumn/deep/8733.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/27253.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/cindy crawford 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/1692.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/27673.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/emily ratajkowski 10.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/14207.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/8733.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/elisabetta canalis 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/9696.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/6050.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jennifer Lopez.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/16336.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia-gerber 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia gerber 7.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/9980.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jennifer garner  5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Belen Rodriguez AUTUNNO DEEP.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/22408.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13685.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/7098.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/jessica alba 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/6239.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/14951.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12992.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/zendaya 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13339.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12962.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/298.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Ashley Graham 6.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Gabrielle Caunesil.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/16551.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/cindy crawford 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/18936.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/29542.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jessica Alba1.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/belen rodriguez  7.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/meghan markle 4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Jennifer garner 1.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia gerber 7.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Shay Mitchell.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/7591.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/14207.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/5057.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Ashley Graham 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/5575.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/kaia gerber 9.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/18390.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Elisabetta Canalis.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Gal Gadot 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/zendaya 11.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13933.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/shay mitchell 6.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/shay mitchell 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/melissa satta 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/jennifer lopez 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/4886.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Theo James.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13212.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/28886.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/6832.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/zendaya 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/8704.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/meghan markle 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/elodie 3.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/cecilia rodriguez 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12620.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Belen-Rodriguez 10.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/17866.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Gal Gadot 2.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Alessandra Ambrosio 4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12062.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/27758.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/cindy crawford 8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/9696.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Ashley Graham 4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/18936.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/CindyCrawford10.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Halle berry 4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/jennifer lopez  8.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/17217.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/elodie 10.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/shay mitchell 6.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/27871.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Kerry washington 2.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Ashley Graham 4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/16551.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/730.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/3510.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/15320.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Alessandra Ambrosio 10.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/2765.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12962.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13232.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/8183.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/22408.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/cindy-crawford 11.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/12982.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/lorena cesarini 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/4965.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/13212.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/21720.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/zendaya 5.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/6723.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/1210.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/730.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/15027.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/7591.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/belen rodriguez  4.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/4788.png,dark_autumn
data/raw/DeepArmocromia/train/autumn/deep/Theo James1.png,dark_autumn
